date,Switch Value : 0.5,Switch Value : 1.0,Switch Value : 1.5,Switch Value : 2.0,Switch Value : 2.5,qqq_intraday,qqq_simple_investment
2018-09-06,7600.715067929889,8095.889191407954,15091.342497193074,17117.211631071572,17213.29911599223,10388.296918877111,11514.587090521733
2018-09-07,7683.280867947845,7996.998036789779,14907.001994377199,16908.12516977998,17003.038947637277,10423.404217830177,11470.252976483895
2018-09-10,7728.249903128141,8043.803209245906,14994.250333809172,17007.085768599765,17102.555061879302,10398.798191914406,11508.885188596649
2018-09-11,8005.559853245868,8332.43604263939,15532.28350616276,17617.344774876117,17716.239757708787,10521.176950844982,11597.553416672326
2018-09-12,8039.424319630157,8294.366257990214,15461.318582440132,17536.853485385538,17635.29663028269,10505.640923318477,11563.352013726213
2018-09-13,7942.896068794117,8194.776954721036,15275.676678362806,17326.290922096174,17423.552073829895,10551.958925946443,11686.851185964586
2018-09-14,8025.922856969665,8103.189106355348,15104.95008421247,17132.645907170107,17228.820032415362,10513.673466079852,11652.652785599794
2018-09-17,8328.528346007082,8408.70780445272,15674.459770335307,17778.60684968552,17878.407077339336,10379.734232688057,11484.81949932358
2018-09-18,8508.32602808052,8590.236414269875,15323.82976718779,17380.908104912105,17478.47585025718,10456.942595466753,11579.819170540926
2018-09-19,8537.167811226556,8567.396750373246,15283.08686971522,17334.695861128574,17432.004193996116,10447.22169460023,11570.952547905446
2018-09-20,8426.773399874488,8456.611447566695,15085.460746399936,17110.540311200188,17206.59034665996,10490.382331748624,11698.88753361266
2018-09-21,8649.507498549585,8248.385348111036,14714.01330918581,16689.229589917708,16782.91459721456,10404.860144127675,11634.917538607953
2018-09-24,8908.567674250797,8005.785779048947,14281.248211856815,16198.3698960966,16289.299462002367,10510.023034765012,11667.278359205422
2018-09-25,8961.51078895859,8053.363711924881,14366.120863656522,16294.635893824505,16386.10584900654,10528.892121822117,11683.138994593664
2018-09-26,8944.738951866808,8038.29150954761,14339.234075877059,16264.139810617435,16355.438576005336,10527.178318752269,11691.386084616957
2018-09-27,8841.4693192076,7945.487078265089,14173.683416031232,16076.36554992647,16166.61024431078,10573.265166337213,11790.36217436131
2018-09-28,8770.61159536711,8001.726370075087,14274.006770635537,16190.156360294754,16281.039819508935,10600.652367097251,11787.824993146618
2018-10-01,8655.686709162748,7896.876499285565,14086.96866206599,15978.010165345184,16067.702741677997,10560.943347456667,11811.935721139473
2018-10-02,8671.25449101376,7911.079514572049,14112.304936638051,16006.747593700122,16096.601487616266,10546.181843567458,11785.286811071486
2018-10-03,8773.732953180286,8004.574090653356,14279.086722252865,16195.918247080213,16286.83405065173,10513.389237445468,11797.97772144714
2018-10-04,8373.003438012005,7638.974965219137,13626.906911243219,15456.189502030478,15542.952837538429,10353.304600734293,11571.471994473659
2018-10-05,8067.738054048511,7360.47100387372,13130.093193048555,16020.859126998457,16110.792236021141,10227.833704694845,11429.984357552197
2018-10-08,8036.144468386053,7331.647104334713,13183.208456774479,16085.668427674018,16175.965343772035,10201.056219111348,11360.192357369639
2018-10-09,8087.8933101644925,7278.476416229143,13087.600982067814,15969.01168645801,16058.653749820425,10226.676266052184,11396.992994877704
2018-10-10,7160.847778869222,6444.20737019421,11587.482033842616,14138.62145312891,14217.988619052732,9838.256263062138,10895.761085805474
2018-10-11,6965.587426278023,6268.488203674848,11271.517235058753,13753.092770584091,13830.295770855882,9756.568124071648,10760.617903211398
2018-10-12,6995.725828724536,6295.610427351326,11187.023102861911,13649.996123128438,13726.62039026476,9764.971262143912,11060.087357100905
2018-10-15,7178.450010818087,6460.048013140353,11479.221467488902,14006.525872613136,13339.61881134156,9680.649943123166,10926.217268986155
2018-10-16,7553.3138223410715,6106.006342750528,10850.104975652048,13238.900956171125,12608.543606215482,9858.664249033038,11244.084539478596
